[2026-08-29T22:05:07.773+03:00] INFO    INIT                   -            BUILD_LOG_OPEN | build_id=20260829-220507-409053b5
[2026-08-29T22:05:07.776+03:00] INFO    PREFLIGHT              -            PHASE_START
[2026-08-29T22:05:07.777+03:00] INFO    PREFLIGHT              -            ENGINE | engine=HEXA_VIDEO_BUILDER_V31_0_25_PREMIUM_MOTION_INTERACTION_DIRECTOR version=31.0.25 downloads_during_build=False build_id=20260829-220507-409053b5 project_cache=C:\Users\INTEL CENTER\Documents\GitHub\Montagetools\.hexa_real_build\887ecb53d354_6332a4da1726\cache
[2026-08-29T22:05:11.244+03:00] PASS    PREFLIGHT              -            VOICE_OVER_PROBED | duration_seconds=99.32 sha256=6332a4da17261e4a05ca7f5206370f372f31c72764cbc531e972d8c985d7a030
[2026-08-29T22:05:11.246+03:00] INFO    PACKAGE_INGEST         -            PHASE_START
[2026-08-29T22:05:13.750+03:00] PASS    PACKAGE_INGEST         -            PACKAGE_VALIDATED | scene_count=49 package_sha256=887ecb53d354acb534bb6fb5f60a0675164751ae53070084a79adb7fdc1a6820 project_id=HEXA_INSUFFICIENT_BALANCE_AR
[2026-08-29T22:05:13.753+03:00] INFO    AUDIO_PREP             -            PHASE_START
[2026-08-29T22:05:13.957+03:00] PASS    AUDIO_PREP             -            VOICE_PCM_READY | path=C:\Users\INTEL CENTER\Documents\GitHub\Montagetools\.hexa_real_build\887ecb53d354_6332a4da1726\cache\audio\voice_16k_mono.wav
[2026-08-29T22:05:13.957+03:00] INFO    ALIGNMENT              -            PHASE_START
[2026-08-29T22:05:24.780+03:00] INFO    ALIGNMENT              -            WHISPER_LOAD | model_path=C:\Users\INTEL CENTER\AppData\Local\HEXA\VideoBuilderV26\models\faster-whisper-small device=cpu compute_type=int8
[2026-08-29T22:07:39.320+03:00] PASS    ALIGNMENT              -            ALIGNMENT_RESOLVED | method=FASTER_WHISPER_OBSERVED_WORDS+EXACT_CANONICAL_RECONCILIATION_V20 canonical_word_direct_match_ratio=0.9648 observed_word_count=228 canonical_word_count=227 internal_trigger_support=True scene_timing_projection=MONOTONIC_CONTINUOUS_WORD_BOUNDARY_V20_0_3 raw_adjacent_word_max_overlap_seconds=0.001 raw_adjacent_word_max_gap_seconds=0.62 projected_scene_min_duration_seconds=0.4 projected_scene_max_duration_seconds=4.22 projected_scene_continuous=True
[2026-08-29T22:07:39.336+03:00] PASS    ALIGNMENT              -            ALIGNMENT_QA_PASS | scene_count=49 projection=MONOTONIC_CONTINUOUS_WORD_BOUNDARY_V20_0_3
[2026-08-29T22:07:39.361+03:00] INFO    VISION_RECONSTRUCTION  -            PHASE_START
[2026-08-29T22:07:39.369+03:00] INFO    VISION_RECONSTRUCTION  SCENE_001    SCENE_START
[2026-08-29T22:07:47.348+03:00] PASS    VISION_RECONSTRUCTION  SCENE_001    SCENE_VISION_ANALYZED | mode=CLEAN_LAYERED source_mode=BORDER_CONNECTED_WHITE_STAGE_MATTE major_groups=2 expected_units=2 reconstruction_mae=0.444 reconstruction_psnr=46.326 edge_touching=True isolated_worker=True progress=1/49
[2026-08-29T22:07:47.350+03:00] INFO    VISION_RECONSTRUCTION  SCENE_002    SCENE_START
[2026-08-29T22:07:56.155+03:00] PASS    VISION_RECONSTRUCTION  SCENE_002    SCENE_VISION_ANALYZED | mode=CLEAN_LAYERED source_mode=BORDER_CONNECTED_WHITE_STAGE_MATTE major_groups=2 expected_units=2 reconstruction_mae=0.5136 reconstruction_psnr=44.614 edge_touching=False isolated_worker=True progress=2/49
