time_seconds,motion_activity_200ms,changed_pixels_percent,nonwhite_occupancy_percent
0.000000,0.000000000,0.0000,0.2347
0.200000,0.000490963,0.3414,0.5223
0.400000,0.067186934,10.9448,10.9546
0.600000,0.077573721,13.9701,15.1741
0.800000,0.080574811,14.3144,17.2594
1.000000,0.078340851,15.8989,21.2265
1.200000,0.058883826,15.9067,25.0245
1.400000,0.052590138,6.5610,27.5039
1.600000,0.029295008,6.0446,28.3441
1.800000,0.013665654,4.3642,28.1074
2.000000,0.035416705,6.3507,26.8202
2.200000,0.018779036,4.5315,27.3318
2.400000,0.011080886,2.0442,27.8492
2.600000,0.005524410,5.5448,32.3484
2.800000,0.068761085,6.0456,33.8674
3.000000,0.014814278,4.5354,34.1598
3.200000,0.000433045,0.0000,34.1618
3.400000,0.011959327,1.5620,34.1285
3.600000,0.117974930,25.5057,38.1631
3.800000,0.305323115,54.3623,33.8537
4.000000,0.162485425,31.9699,19.3320
4.200000,0.043300117,12.1371,22.2946
4.400000,0.055588696,12.6183,19.6704
4.600000,0.045304397,4.7398,22.0599
4.800000,0.051974439,5.1800,22.0902
5.000000,0.143450014,25.4313,21.9141
5.200000,0.139418209,21.1444,6.8897
5.400000,0.189190908,20.2709,18.1485
5.600000,0.094181779,17.6448,18.9339
5.800000,0.001431771,1.5914,20.3775
6.000000,0.025255608,5.4763,23.1260
6.200000,0.060453220,5.6915,23.1094
6.400000,0.012007656,2.4452,25.5516
6.600000,0.035983461,3.9016,27.0149
6.800000,0.011706711,2.6047,27.5323
7.000000,0.024826629,5.2924,31.7831
7.200000,0.068791847,6.6813,34.2919
7.400000,0.032652352,6.4427,35.1399
7.600000,0.006894197,3.2688,35.2523
7.800000,0.001836663,0.3110,35.2964
8.000000,0.189413989,37.6897,45.3922
8.200000,0.090718187,30.6221,46.1629
8.400000,0.010459894,3.8957,46.4114
8.600000,0.026682853,17.0276,45.8069
8.800000,0.435518503,47.1156,28.7353
9.000000,0.199528062,31.5278,16.2950
9.200000,0.035516048,10.2494,17.2946
9.400000,0.000021403,0.0000,17.2956
9.600000,0.001271595,0.0000,17.2936
9.800000,0.016687916,2.0168,19.3007
10.000000,0.033492129,6.1209,22.2809
10.200000,0.036517306,6.2637,21.7606
10.400000,0.041568014,3.7314,21.6002
10.600000,0.002012719,0.8539,21.5855
10.800000,0.000522799,0.0000,21.5943
11.000000,0.000047102,0.0000,21.5943
11.200000,0.109078140,89.0591,100.0000
11.400000,0.292967719,94.6939,100.0000
11.600000,0.084789269,21.8183,100.0000
11.800000,0.101601537,24.9755,100.0000
12.000000,0.092855028,23.3118,100.0000
12.200000,0.088091918,22.0188,100.0000
12.400000,0.082574872,21.0055,100.0000
12.600000,0.082299472,23.3196,100.0000
12.800000,0.104365430,24.5149,99.4219
13.000000,0.033176685,3.1808,99.3007
13.200000,0.029289177,13.7696,99.3437
13.400000,0.113490288,30.0968,99.2293
13.600000,0.035559621,16.3419,99.2019
13.800000,0.006197950,2.2164,99.2283
14.000000,0.027550707,13.5035,99.2254
14.200000,0.578956320,98.8361,5.0127
14.400000,0.111644650,14.2058,14.1119
14.600000,0.120197843,18.0194,14.1804
14.800000,0.111047363,16.6950,13.7764
15.000000,0.100234128,19.2703,17.6917
15.200000,0.117380404,19.6401,16.8056
15.400000,0.089067400,15.4802,16.5288
15.600000,0.014397650,6.9190,16.5248
15.800000,0.000035978,0.0000,16.5229
16.000000,0.034391896,10.3648,16.5923
16.200000,0.127496164,18.5769,17.2750
16.400000,0.173405597,22.2027,14.4611
16.600000,0.102023382,24.8621,16.3165
16.800000,0.094228958,26.8153,25.1907
17.000000,0.142825263,29.3818,28.1710
17.200000,0.148018810,33.8762,34.4288
17.400000,0.112859861,22.8697,36.1913
17.600000,0.084907177,17.9930,36.7068
17.800000,0.003405213,1.4456,37.9861
18.000000,0.019544171,2.8805,38.2658
18.200000,0.018896100,1.7332,38.2727
18.400000,0.005288824,1.4456,41.1923
18.600000,0.037198364,16.1375,55.0694
18.800000,0.181856455,40.3453,57.5538
19.000000,0.165005830,34.9628,58.4008
19.200000,0.044170886,21.0231,58.5573
19.400000,0.004563119,1.3459,58.5554
19.600000,0.505515972,59.7907,56.3811
19.800000,0.237216545,56.7302,4.8112
20.000000,0.001566786,0.9810,4.7731
20.200000,0.101755500,11.4671,8.8537
20.400000,0.099292323,12.2164,5.2748
20.600000,0.081749517,6.9219,4.7868
20.800000,0.004442833,1.7772,4.7868
21.000000,0.006089938,0.9145,5.7678
21.200000,0.013085320,1.5170,6.6354
21.400000,0.007474455,1.4593,6.9435
21.600000,0.006406073,1.3713,7.2770
21.800000,0.024489782,3.5867,10.8588
22.000000,0.029428411,4.9178,12.7592
22.200000,0.019750299,4.8269,13.2923
22.400000,0.012147657,3.1221,16.3537
22.600000,0.053592086,4.6273,18.1866
22.800000,0.019339041,4.1060,18.8860
23.000000,0.005894934,2.6076,19.0591
23.200000,0.059743011,16.7928,19.3545
23.400000,0.267210639,29.0346,16.1786
23.600000,0.093656985,14.6596,16.3361
23.800000,0.024633235,4.6538,16.6989
24.000000,0.001897343,1.4681,16.7244
24.200000,0.019835681,4.2850,16.3987
24.400000,0.033671254,6.3527,15.3306
24.600000,0.035419467,6.6363,15.1731
24.800000,0.021929639,5.4548,16.5209
25.000000,0.025650296,5.0274,16.9161
25.200000,0.015229449,5.3228,18.2003
25.400000,0.016952116,4.1520,18.6287
25.600000,0.008176916,3.5143,18.7627
25.800000,0.006927491,2.6369,18.8801
26.000000,0.005410721,2.4364,18.9525
26.200000,0.004456488,2.1694,19.0248
26.400000,0.003269048,1.7518,19.0415
26.600000,0.001385667,0.7248,19.0845
26.800000,0.311658075,97.3044,100.0000
27.000000,0.053614947,16.4662,97.3259
27.200000,0.000425680,0.0010,97.3259
27.400000,0.411870877,98.3881,26.3018
27.600000,0.117735586,24.8640,14.8318
27.800000,0.031441130,6.9073,17.0736
28.000000,0.038369849,6.2617,17.6037
28.200000,0.011083725,2.9685,17.7817
28.400000,0.011578370,3.0497,18.0174
28.600000,0.011960708,3.0203,18.3431
28.800000,0.130891789,11.4075,26.3038
29.000000,0.147206573,21.7175,29.7447
29.200000,0.150758615,31.0661,33.5847
29.400000,0.087697459,19.4914,34.0346
29.600000,0.010426985,5.6504,34.0601
29.800000,0.001655697,0.8685,33.9750
30.000000,0.033619933,10.6964,32.3719
30.200000,0.142682577,21.1033,32.2212
30.400000,0.414626178,50.7424,31.7743
