time_seconds,motion_activity_200ms,changed_pixels_percent,nonwhite_occupancy_percent
0.000000,0.000000000,0.0000,42.9871
0.200000,0.361402237,49.8288,41.7254
0.400000,0.538631900,63.2883,38.3832
0.600000,0.436384056,51.5072,36.0309
0.800000,0.323227776,40.6182,35.5096
1.000000,0.226799610,30.5556,35.3638
1.200000,0.000164856,0.0000,35.3658
1.400000,0.001328669,0.0000,35.3531
1.600000,0.396163890,44.4640,18.4830
1.800000,0.027269861,6.5649,21.4544
2.000000,0.027183942,5.7424,23.2473
2.200000,0.012038878,2.8091,23.3490
2.400000,0.150748335,24.7672,18.4038
2.600000,0.191107736,31.4818,18.1172
2.800000,0.126251112,23.1426,18.2287
3.000000,0.136546151,25.4069,26.7048
3.200000,0.126797923,23.0957,26.3439
3.400000,0.086137961,15.1203,26.1160
3.600000,0.009153856,4.8905,26.0818
3.800000,0.013937448,2.0344,28.0976
4.000000,0.028436973,4.2430,29.5628
4.200000,0.024222053,3.2835,29.4797
4.400000,0.020996272,4.3104,33.2971
4.600000,0.024279895,3.4644,33.7842
4.800000,0.000199531,0.0000,33.7862
5.000000,0.124043312,17.5264,25.6915
5.200000,0.138500875,31.9288,21.4309
5.400000,0.191032787,33.5485,17.4482
5.600000,0.108977416,19.2586,16.3908
5.800000,0.076984412,13.0037,15.9752
6.000000,0.052725536,11.8192,18.9789
6.200000,0.058428227,12.8697,20.8862
6.400000,0.019780831,6.3136,21.0299
6.600000,0.081459235,16.0906,25.2905
6.800000,0.048479088,12.2486,26.3488
7.000000,0.013545905,3.2551,26.4926
7.200000,0.112416766,20.5477,25.6700
7.400000,0.155316441,27.8961,14.5471
7.600000,0.080572432,14.3779,0.2347
7.800000,0.110363389,13.4517,13.6541
8.000000,0.079943079,13.5348,12.1694
8.200000,0.031611817,6.0651,13.5994
8.400000,0.011361349,2.0960,14.6772
8.600000,0.010258523,2.2261,15.4705
8.800000,0.014416214,3.0859,17.2252
9.000000,0.021853233,5.0959,20.1027
9.200000,0.023097748,4.1931,21.6119
9.400000,0.008698794,2.4980,21.6334
9.600000,0.000008515,0.0000,21.6334
9.800000,0.000123738,0.0000,21.6315
10.000000,0.015702384,1.9190,23.2590
10.200000,0.024861226,4.3858,25.0871
10.400000,0.027254135,3.8996,26.1502
10.600000,0.023397312,3.2424,27.7005
10.800000,0.015736291,1.8104,27.5890
11.000000,0.002202737,0.6299,27.4433
11.200000,0.000102719,0.0000,27.4452
11.400000,0.000000921,0.0000,27.4452
11.600000,0.002011415,0.1604,27.6037
11.800000,0.011623861,3.2209,30.7414
12.000000,0.021238838,3.1808,31.2197
12.200000,0.000116757,0.0000,31.2216
12.400000,0.005251542,0.9673,31.2158
12.600000,0.332555080,31.0632,19.5168
12.800000,0.066582896,30.4617,10.2709
13.000000,0.092076391,16.4329,14.0415
13.200000,0.084484795,14.6919,14.6489
13.400000,0.012429271,5.9302,15.4773
13.600000,0.050142303,10.9135,25.4343
13.800000,0.072999095,14.7574,22.9587
14.000000,0.075945871,13.4370,24.8601
14.200000,0.093014514,13.1260,25.1858
14.400000,0.052179493,8.7060,25.0333
14.600000,0.004510801,2.7553,24.9853
14.800000,0.080376968,15.4998,25.5076
15.000000,0.174334208,30.8314,23.4478
15.200000,0.120303400,23.4057,3.2297
15.400000,0.093150756,12.5606,10.0362
15.600000,0.024181089,7.6849,10.0910
15.800000,0.042260349,10.3032,12.3014
16.000000,0.224221670,23.2932,11.4613
16.200000,0.118576590,15.4264,12.0745
16.400000,0.038832658,7.5049,12.3856
16.600000,0.000788686,0.0000,12.3856
16.800000,0.229383074,25.8910,38.5974
17.000000,0.052238025,17.2164,34.1031
17.200000,0.095613014,24.0444,34.8014
17.400000,0.393562705,50.8558,38.8204
17.600000,0.520644006,62.1557,32.2310
17.800000,0.216684311,33.7520,33.6326
18.000000,0.001072371,0.0000,33.6258
18.200000,0.000194698,0.0000,33.6268
18.400000,0.005392080,0.3844,34.0092
18.600000,0.006537866,2.3875,36.2999
18.800000,0.016944981,2.5029,36.6862
19.000000,0.000218479,0.0000,36.6853
19.200000,0.000140231,0.0000,36.6833
19.400000,0.000001304,0.0000,36.6833
19.600000,0.000001304,0.0000,36.6833
19.800000,0.103812713,27.0736,39.0063
20.000000,0.072331078,22.7005,42.4716
20.200000,0.046218126,13.6131,44.6410
20.400000,0.126821780,31.1757,46.6804
20.600000,0.123310089,30.1115,48.3920
20.800000,0.045833947,16.0720,48.8811
21.000000,0.035854276,13.2688,48.5231
21.200000,0.351508715,50.3042,42.9294
21.400000,0.342919467,45.4235,20.2543
21.600000,0.047080303,14.9599,19.1608
21.800000,0.032674445,13.4644,21.5268
22.000000,0.026380144,8.0849,21.5151
22.200000,0.151656157,31.2784,27.5538
22.400000,0.160607720,34.4396,24.7388
22.600000,0.135558394,23.6864,25.3492
22.800000,0.077965725,15.3687,24.9423
23.000000,0.044430022,8.6258,24.8112
23.200000,0.001173095,0.3511,24.8063
23.400000,0.011409601,0.8069,25.6045
23.600000,0.011630612,1.7087,27.3269
23.800000,0.000977707,0.4489,27.3914
24.000000,0.000420848,0.0000,27.3914
24.200000,0.008216883,0.5516,27.9333
24.400000,0.018554804,2.3748,30.2543
24.600000,0.012609086,1.7038,30.6984
24.800000,0.000569978,0.3609,30.7199
25.000000,0.000176823,0.0000,30.7150
25.200000,0.036117402,11.6197,30.8500
25.400000,0.313252478,96.0857,100.0000
25.600000,0.095123048,68.6004,98.8938
25.800000,0.106329206,25.8343,98.2590
26.000000,0.108817469,25.2758,97.7553
26.200000,0.104320246,20.0518,97.4345
26.400000,0.056044141,11.1590,97.3396
26.600000,0.003198318,0.2631,97.3415
26.800000,0.001903019,0.1379,97.3415
27.000000,0.005763448,1.3732,97.3259
27.200000,0.003951563,1.1463,97.1362
27.400000,0.062154255,14.0796,97.1860
27.600000,0.120133404,19.8983,96.5464
27.800000,0.080362469,15.7150,96.2872
28.000000,0.045105711,12.6428,96.2725
28.200000,0.046999831,12.4726,96.4818
28.400000,0.006819172,2.9460,96.4828
28.600000,0.001935776,0.1976,96.4838
28.800000,0.145550262,31.3243,97.7347
29.000000,0.443184970,97.4883,11.8427
29.200000,0.083018196,11.2617,12.0912
29.400000,0.000093973,0.0000,12.0951
29.600000,0.151939918,17.8717,14.5246
29.800000,0.210617770,21.3331,14.5070
30.000000,0.139857084,17.8824,14.5129
30.200000,0.103347218,15.0196,14.4816
30.400000,0.065426064,11.0016,14.4973
30.600000,0.077754457,8.5730,22.9665
30.800000,0.108046043,13.3803,24.0454
31.000000,0.072123646,11.0074,23.7999
31.200000,0.044682792,8.7901,24.0444
31.400000,0.008943892,3.3969,24.0297
31.600000,0.004177560,0.9703,24.9648
31.800000,0.036401010,10.4421,26.8584
32.000000,0.185736445,21.8427,22.7876
32.200000,0.082986054,16.3361,20.1809
32.400000,0.039447053,8.2678,18.7852
32.600000,0.003298352,0.2338,19.0200
32.800000,0.005753705,0.3756,19.3721
33.000000,0.000689650,0.0000,19.3701
33.200000,0.008174844,1.7537,21.0945
33.400000,0.006594480,1.4789,21.1678
33.600000,0.013759321,0.0000,21.2373
33.800000,0.331031943,98.3343,100.0000
34.000000,0.180802878,89.7750,100.0000
34.200000,0.214613827,35.4636,100.0000
34.400000,0.181420265,34.1109,100.0000
34.600000,0.144667526,30.7805,100.0000
34.800000,0.111140646,28.2003,100.0000
35.000000,0.080771503,26.8682,99.9785
35.200000,0.012162770,3.2707,99.0865
35.400000,0.001357283,0.0000,99.0835
35.600000,0.000217481,0.0000,99.0855
35.800000,0.373818850,98.7627,99.9912
36.000000,0.265702845,99.1559,9.4552
36.200000,0.001964467,0.0000,9.4249
36.400000,0.002231581,1.1669,10.5340
36.600000,0.009647274,1.4378,10.8803
36.800000,0.020079245,6.7557,11.2334
37.000000,0.132761438,19.1549,14.3955
37.200000,0.096950581,16.5894,11.5737
37.400000,0.065395839,10.9683,11.0270
37.600000,0.064840284,8.8312,17.6986
37.800000,0.024220059,5.6817,16.5972
38.000000,0.004039016,1.5317,16.7322
38.200000,0.008392939,2.4276,19.0591
38.400000,0.017173279,2.5978,19.7310
38.600000,0.001899567,1.0446,19.7447
38.800000,0.000001381,0.0000,19.7437
39.000000,0.000174369,0.0000,19.7496
39.200000,0.044989107,7.8785,19.4396
39.400000,0.041531115,8.6776,11.4065
39.600000,0.000212955,0.0362,11.4182
39.800000,0.045626592,5.7316,17.3562
40.000000,0.037628187,6.8408,19.7741
40.200000,0.022154024,5.0166,20.4000
40.400000,0.006154301,1.2167,20.3462
40.600000,0.012331999,1.8437,18.5446
40.800000,0.000282611,0.0000,18.5573
41.000000,0.315411335,48.9241,38.3500
41.200000,0.264514023,44.6000,22.1880
41.400000,0.143997821,26.5141,19.9638
41.600000,0.007929439,4.6821,19.8817
41.800000,0.000489199,0.0000,19.8826
42.000000,0.000702308,0.0000,19.8817
42.200000,0.000084154,0.0000,19.8768
42.400000,0.150147519,23.8087,21.9503
42.600000,0.073213661,20.7052,13.0771
42.800000,0.000001458,0.0000,13.0771
43.000000,0.000338765,0.0000,13.0771
43.200000,0.000068275,0.0000,13.0771
43.400000,0.141365722,17.3445,13.0683
43.600000,0.172880496,20.0558,14.5491
43.800000,0.107384624,15.2171,15.0665
44.000000,0.058108411,10.7394,15.3991
44.200000,0.011289929,2.0061,17.3513
44.400000,0.009361364,1.6608,17.5851
44.600000,0.039162064,4.3711,21.9210
44.800000,0.026146629,4.1853,21.4681
45.000000,0.003707693,1.5728,21.4476
45.200000,0.000100878,0.0000,21.4407
45.400000,0.000001381,0.0000,21.4407
45.600000,0.000001304,0.0000,21.4407
45.800000,0.017629185,11.8153,21.4221
46.000000,0.200840084,30.6534,29.7212
46.200000,0.137751849,35.3638,16.4173
46.400000,0.084631547,15.1487,16.0446
46.600000,0.047300546,9.2478,15.9184
46.800000,0.001423180,0.6270,15.9028
47.000000,0.216663752,25.1125,40.8059
47.200000,0.239880865,38.6815,57.3728
47.400000,0.226515235,42.4051,56.5102
47.600000,0.188878456,33.1504,56.1219
47.800000,0.061888828,16.2862,56.1092
48.000000,0.001706097,0.0000,56.1062
48.200000,0.000190632,0.0000,56.1052
48.400000,0.023927936,5.6631,55.5595
48.600000,0.020256528,5.0254,56.5063
48.800000,0.017707509,4.7232,55.6123
49.000000,0.000796204,0.0000,55.5957
49.200000,0.151212833,32.5988,58.6405
49.400000,0.232123109,41.0651,62.5333
49.600000,0.119168124,29.8836,63.8028
49.800000,0.049427874,21.0211,64.3173
50.000000,0.011554589,6.0603,64.3760
50.200000,0.207507595,39.6450,67.4902
50.400000,0.213614103,40.7023,69.7222
50.600000,0.088991454,28.4830,70.3775
50.800000,0.025400212,14.6958,70.4842
51.000000,0.058711682,22.7377,70.4069
51.200000,0.317278299,68.2375,70.9174
51.400000,0.377654807,73.4458,58.7578
51.600000,0.112950996,57.0745,13.4683
51.800000,0.065068044,13.9221,13.1084
52.000000,0.054282580,12.2359,12.9773
52.200000,0.044839516,10.8695,12.9245
52.400000,0.035786922,9.6674,12.9098
52.600000,0.027623891,8.1025,12.8824
52.800000,0.024631547,8.3490,15.5595
53.000000,0.021977584,4.2733,16.0162
53.200000,0.000070039,0.0000,16.0153
53.400000,0.000000844,0.0000,16.0153
53.600000,0.000000537,0.0000,16.0153
53.800000,0.039044386,11.7752,15.7649
54.000000,0.187548636,20.9341,23.0526
54.200000,0.060769278,11.6041,24.0327
54.400000,0.120060527,16.9963,19.8054
54.600000,0.032261499,8.6913,20.2924
54.800000,0.000349581,0.0000,20.2934
55.000000,0.000512750,0.0000,20.2915
55.200000,0.000093513,0.0000,20.2905
55.400000,0.000000844,0.0000,20.2905
55.600000,0.011370631,3.1162,23.3519
55.800000,0.016358204,2.9617,23.6610
56.000000,0.000190402,0.0000,23.6590
56.200000,0.000107935,0.0000,23.6581
56.400000,0.000000997,0.0000,23.6581
56.600000,0.000000767,0.0000,23.6581
56.800000,0.061947129,17.7905,23.6610
57.000000,0.153313388,26.1405,26.3380
57.200000,0.039575087,22.1410,17.6086
57.400000,0.000311531,0.0000,17.6056
57.600000,0.000851744,0.0646,17.6027
57.800000,0.000008055,0.0000,17.6027
58.000000,0.000447390,0.0000,17.5910
58.200000,0.003425926,1.9327,19.4141
58.400000,0.015458207,2.3386,20.0147
58.600000,0.001435377,0.8460,20.0391
58.800000,0.000001074,0.0000,20.0391
59.000000,0.000132023,0.0000,20.0411
59.200000,0.000074335,0.0000,20.0381
59.400000,0.010418316,5.3795,20.1340
59.600000,0.181603302,34.0004,25.3502
59.800000,0.140055463,36.1825,22.3592
60.000000,0.099366734,23.8693,19.6146
60.200000,0.058812253,14.4415,19.5540
60.400000,0.021276428,6.8095,20.0450
60.600000,0.015174139,2.2525,22.2428
60.800000,0.009503360,1.7058,22.3024
61.000000,0.000548498,0.0000,22.3083
61.200000,0.013508699,1.7400,24.0522
61.400000,0.015870232,2.3640,25.0186
61.600000,0.002852420,1.2021,24.7300
61.800000,0.000398754,0.1653,24.6831
62.000000,0.000336080,0.0734,24.7056
62.200000,0.082656878,15.0646,29.6538
62.400000,0.234891528,80.8343,98.0468
62.600000,0.019437770,2.2848,98.0468
62.800000,0.010154807,1.6999,98.0468
63.000000,0.005822670,1.1688,98.0448
63.200000,0.007095646,1.4261,98.0448
63.400000,0.003183743,0.4754,98.0448
63.600000,0.005791295,0.7502,98.0448
63.800000,0.001083341,0.0137,98.0448
64.000000,0.009841741,3.4468,98.0448
64.200000,0.016136580,3.6502,97.2682
64.400000,0.001179923,0.0176,97.2701
64.600000,0.001060711,0.0401,97.2701
64.800000,0.001598469,0.6700,97.2701
65.000000,0.010435039,3.0057,97.2653
65.200000,0.318719046,99.5980,99.9775
65.400000,0.144115653,99.9980,0.2347
65.600000,0.000000000,0.0000,0.2347
65.800000,0.000000000,0.0000,0.2347
66.000000,0.144726288,16.9102,16.9415
66.200000,0.270220703,30.7502,20.0714
66.400000,0.201060711,26.2275,18.7344
66.600000,0.299414833,33.9769,30.1829
66.800000,0.369354383,38.6825,28.3128
67.000000,0.192569732,26.9709,27.5871
67.200000,0.076913606,13.0565,27.3054
67.400000,0.001788257,0.7815,28.0487
67.600000,0.017407944,2.1948,29.3515
67.800000,0.009099773,1.7195,29.4268
68.000000,0.000805256,0.0000,29.4308
68.200000,0.000100647,0.0000,29.4308
68.400000,0.000001151,0.0000,29.4308
68.600000,0.000000997,0.0000,29.4308
68.800000,0.000000997,0.0000,29.4308
69.000000,0.305401132,30.1047,29.9090
69.200000,0.070859109,28.0761,8.6268
69.400000,0.000002838,0.0000,8.6268
69.600000,0.037166835,8.0810,10.6446
69.800000,0.085430974,13.6043,8.9231
70.000000,0.062347648,8.4527,8.7344
70.200000,0.051806591,8.3382,9.3447
70.400000,0.047336141,8.2121,10.1643
70.600000,0.019820722,5.3521,10.1917
70.800000,0.001188131,0.6504,10.1907
71.000000,0.000309000,0.0000,10.1888
71.200000,0.053842171,4.8582,14.9306
71.400000,0.108744515,10.8862,21.5385
71.600000,0.100111311,13.1123,22.3973
71.800000,0.070287444,11.6041,22.2604
72.000000,0.047982371,9.7066,22.1860
72.200000,0.029551689,7.6692,22.1557
72.400000,0.011477186,4.0464,22.1479
72.600000,0.002181641,0.7101,22.8286
72.800000,0.014063411,1.7087,23.8106
73.000000,0.006799457,1.1786,23.8820
73.200000,0.000148210,0.0000,23.8811
73.400000,0.059046304,21.8075,26.8975
73.600000,0.285064516,37.9313,18.5221
73.800000,0.000223618,0.0000,18.5231
